Pclass,Sex,SibSp,Parch,Ticket,Fare,Embarked,Age,Survived,name_length
3.0,male,1.0,0.0,21171,7.25,S,22.0,no,23
1.0,female,1.0,0.0,17599,71.2833,C,38.0,yes,51
3.0,female,0.0,0.0,3101282,7.925,S,26.0,yes,22
1.0,female,1.0,0.0,113803,53.1,S,35.0,yes,44
3.0,male,0.0,0.0,373450,8.05,S,35.0,no,24
3.0,male,0.0,0.0,330877,8.4583,Q,29.69911764705882,no,16
1.0,male,0.0,0.0,17463,51.8625,S,54.0,no,23
3.0,male,3.0,1.0,349909,21.075,S,2.0,no,30
3.0,female,0.0,2.0,347742,11.1333,S,27.0,yes,49
2.0,female,1.0,0.0,237736,30.0708,C,14.0,yes,35
3.0,female,1.0,1.0,9549,16.7,S,4.0,yes,31
1.0,female,0.0,0.0,113783,26.55,S,58.0,yes,24
3.0,male,0.0,0.0,2151,8.05,S,20.0,no,30
3.0,male,1.0,5.0,347082,31.275,S,39.0,no,27
3.0,female,0.0,0.0,350406,7.8542,S,14.0,no,36
2.0,female,0.0,0.0,248706,16.0,S,55.0,yes,32
3.0,male,4.0,1.0,382652,29.125,Q,2.0,no,20
2.0,male,0.0,0.0,244373,13.0,S,29.69911764705882,yes,28
3.0,female,1.0,0.0,345763,18.0,S,31.0,no,55
3.0,female,0.0,0.0,2649,7.225,C,29.69911764705882,yes,23
2.0,male,0.0,0.0,239865,26.0,S,35.0,no,20
2.0,male,0.0,0.0,248698,13.0,S,34.0,yes,21
3.0,female,0.0,0.0,330923,8.0292,Q,15.0,yes,27
1.0,male,0.0,0.0,113788,35.5,S,28.0,yes,28
3.0,female,3.0,1.0,349909,21.075,S,8.0,no,29
3.0,female,1.0,5.0,347077,31.3875,S,38.0,yes,57
3.0,male,0.0,0.0,2631,7.225,C,29.69911764705882,no,23
1.0,male,3.0,2.0,19950,263.0,S,19.0,no,30
3.0,female,0.0,0.0,330959,7.8792,Q,29.69911764705882,yes,29
3.0,male,0.0,0.0,349216,7.8958,S,29.69911764705882,no,19
1.0,male,0.0,0.0,17601,27.7208,C,40.0,no,24
1.0,female,1.0,0.0,17569,146.5208,C,29.69911764705882,yes,46
3.0,female,0.0,0.0,335677,7.75,Q,29.69911764705882,yes,24
2.0,male,0.0,0.0,24579,10.5,S,66.0,no,21
1.0,male,1.0,0.0,17604,82.1708,C,28.0,no,23
1.0,male,1.0,0.0,113789,52.0,S,42.0,no,30
3.0,male,0.0,0.0,2677,7.2292,C,29.69911764705882,yes,16
3.0,male,0.0,0.0,2152,8.05,S,21.0,no,24
3.0,female,2.0,0.0,345764,18.0,S,18.0,no,34
3.0,female,1.0,0.0,2651,11.2417,C,14.0,yes,27
3.0,female,1.0,0.0,7546,9.475,S,40.0,no,46
2.0,female,1.0,0.0,11668,21.0,S,27.0,no,56
3.0,male,0.0,0.0,349253,7.8958,C,29.69911764705882,no,19
2.0,female,1.0,2.0,2123,41.5792,C,3.0,yes,40
3.0,female,0.0,0.0,330958,7.8792,Q,19.0,yes,29
3.0,male,0.0,0.0,23567,8.05,S,29.69911764705882,no,24
3.0,male,1.0,0.0,370371,15.5,Q,29.69911764705882,no,17
3.0,female,0.0,0.0,14311,7.75,Q,29.69911764705882,yes,25
3.0,male,2.0,0.0,2662,21.6792,C,29.69911764705882,no,19
3.0,female,1.0,0.0,349237,17.8,S,18.0,no,45
3.0,male,4.0,1.0,3101295,39.6875,S,7.0,no,26
3.0,male,0.0,0.0,39886,7.8,S,21.0,no,28
1.0,female,1.0,0.0,17572,76.7292,C,49.0,yes,40
2.0,female,1.0,0.0,2926,26.0,S,29.0,yes,50
1.0,male,0.0,1.0,113509,61.9792,C,65.0,no,30
1.0,male,0.0,0.0,19947,35.5,S,29.69911764705882,yes,17
2.0,female,0.0,0.0,31026,10.5,S,21.0,yes,17
3.0,male,0.0,0.0,2697,7.2292,C,28.5,no,19
2.0,female,1.0,2.0,34651,27.75,S,5.0,yes,28
3.0,male,5.0,2.0,2144,46.9,S,11.0,no,34
3.0,male,0.0,0.0,2669,7.2292,C,22.0,no,21
1.0,male,1.0,0.0,36973,83.475,S,45.0,no,27
3.0,male,3.0,2.0,347088,27.9,S,4.0,no,21
1.0,male,0.0,0.0,17605,27.7208,C,29.69911764705882,no,21
3.0,male,1.0,1.0,2661,15.2458,C,29.69911764705882,yes,24
2.0,female,0.0,0.0,29395,10.5,S,29.0,yes,28
3.0,male,0.0,0.0,3464,8.1583,S,19.0,no,24
3.0,female,4.0,2.0,3101281,7.925,S,17.0,yes,31
3.0,male,2.0,0.0,315151,8.6625,S,26.0,no,17
2.0,male,0.0,0.0,33111,10.5,S,32.0,no,26
3.0,female,5.0,2.0,2144,46.9,S,16.0,no,26
2.0,male,0.0,0.0,14879,73.5,S,21.0,no,20
3.0,male,1.0,0.0,2680,14.4542,C,26.0,no,27
3.0,male,0.0,0.0,1601,56.4958,S,32.0,yes,13
3.0,male,0.0,0.0,348123,7.65,S,25.0,no,23
3.0,male,0.0,0.0,349208,7.8958,S,29.69911764705882,no,17
3.0,male,0.0,0.0,374746,8.05,S,29.69911764705882,no,24
2.0,male,0.0,2.0,248738,29.0,S,0.83,yes,29
3.0,female,0.0,0.0,364516,12.475,S,30.0,yes,24
3.0,male,0.0,0.0,345767,9.0,S,22.0,no,20
3.0,male,0.0,0.0,345779,9.5,S,29.0,yes,27
3.0,female,0.0,0.0,330932,7.7875,Q,29.69911764705882,yes,30
1.0,male,0.0,0.0,113059,47.1,S,28.0,no,23
2.0,female,0.0,0.0,14885,10.5,S,17.0,yes,19
3.0,female,3.0,0.0,3101278,15.85,S,33.0,yes,55
3.0,male,1.0,3.0,6608,34.375,S,16.0,no,22
3.0,male,0.0,0.0,392086,8.05,S,29.69911764705882,no,29
1.0,female,3.0,2.0,19950,263.0,S,23.0,yes,26
3.0,male,0.0,0.0,343275,8.05,S,24.0,no,22
3.0,male,0.0,0.0,343276,8.05,S,29.0,no,20
3.0,male,0.0,0.0,347466,7.8542,S,20.0,no,26
1.0,male,1.0,0.0,5734,61.175,S,46.0,no,27
3.0,male,1.0,2.0,2315,20.575,S,26.0,no,23
3.0,male,0.0,0.0,364500,7.25,S,59.0,no,17
3.0,male,0.0,0.0,374910,8.05,S,29.69911764705882,no,27
1.0,male,0.0,0.0,17754,34.6542,C,71.0,no,25
1.0,male,0.0,1.0,17759,63.3583,C,23.0,yes,31
2.0,female,0.0,1.0,231919,23.0,S,34.0,yes,36
2.0,male,1.0,0.0,244367,26.0,S,34.0,no,17
3.0,female,0.0,0.0,349245,7.8958,S,28.0,no,23
3.0,male,0.0,0.0,349215,7.8958,S,29.69911764705882,no,32
1.0,male,0.0,1.0,35281,77.2875,S,21.0,no,25
3.0,male,0.0,0.0,7540,8.6542,S,33.0,no,26
3.0,male,2.0,0.0,3101276,7.925,S,37.0,no,30
3.0,male,0.0,0.0,349207,7.8958,S,28.0,no,21
